  NB: 20 points x 4000 frames (1451s)
    SNR         OFDM   PCP-guard    PCP-orig
     0.0     1.00e+00    1.00e+00    1.00e+00
     0.2     1.00e+00    1.00e+00    1.00e+00
     0.4     1.00e+00    1.00e+00    1.00e+00
     0.6     1.00e+00    1.00e+00    1.00e+00
     0.8     1.00e+00    9.95e-01    9.99e-01
     1.0     1.00e+00    9.23e-01    9.69e-01
     1.2     9.96e-01    6.16e-01    7.91e-01
     1.4     9.56e-01    2.13e-01    3.71e-01
     1.6     7.75e-01    3.18e-02    8.23e-02
     1.8     4.16e-01    1.00e-03    5.00e-03
     2.0     1.47e-01    0.00e+00    2.50e-04
     2.2     3.93e-02    0.00e+00    0.00e+00
     2.4     6.75e-03    0.00e+00    0.00e+00
     2.6     3.00e-03    0.00e+00    0.00e+00
     2.8     5.00e-04    0.00e+00    0.00e+00
     3.0     0.00e+00    0.00e+00    0.00e+00
     3.2     0.00e+00    0.00e+00    0.00e+00
     3.4     0.00e+00    0.00e+00    0.00e+00
     3.6     2.50e-04    0.00e+00    0.00e+00
     3.8     0.00e+00    0.00e+00    0.00e+00
  WB: 20 points x 4000 frames (4857s)
    SNR         OFDM   PCP-guard    PCP-orig
     0.0     1.00e+00    1.00e+00    1.00e+00
     0.2     1.00e+00    1.00e+00    1.00e+00
     0.4     1.00e+00    1.00e+00    1.00e+00
     0.6     1.00e+00    1.00e+00    1.00e+00
     0.8     1.00e+00    1.00e+00    1.00e+00
     1.0     1.00e+00    1.00e+00    1.00e+00
     1.2     1.00e+00    1.00e+00    1.00e+00
     1.4     1.00e+00    1.00e+00    1.00e+00
     1.6     9.00e-01    1.00e+00    1.00e+00
     1.8     3.49e-01    1.00e+00    1.00e+00
     2.0     1.87e-02    9.79e-01    9.97e-01
     2.2     2.50e-04    7.43e-01    9.20e-01
     2.4     0.00e+00    2.60e-01    5.59e-01
     2.6     0.00e+00    2.97e-02    1.39e-01
     2.8     0.00e+00    2.50e-04    9.25e-03
     3.0     0.00e+00    0.00e+00    5.00e-04
     3.2     0.00e+00    0.00e+00    0.00e+00
     3.4     0.00e+00    0.00e+00    0.00e+00
     3.6     0.00e+00    0.00e+00    0.00e+00
     3.8     0.00e+00    0.00e+00    0.00e+00

wrote awgn_fine.json  total 4857s
